Pokemon,Rank,Count,n,Percent
Flutter Mane,1,1454951,1878825,0.7743941026971645
Iron Bundle,2,1165153,1878825,0.6201498276848563
Iron Hands,3,1145260,1878825,0.6095618272058334
Great Tusk,4,673071,1878825,0.3582403896052054
Gholdengo,5,663711,1878825,0.3532585525527923
Amoonguss,6,983437,1878825,0.5234319321916624
Arcanine,7,930540,1878825,0.4952776336274001
Dondozo,8,315148,1878825,0.16773675036259364
Tatsugiri,9,313274,1878825,0.16673931845701437
Dragonite,10,396729,1878825,0.2111580376032893
Roaring Moon,11,642275,1878825,0.341849294106689
Kingambit,12,556369,1878825,0.29612603621944567
Maushold,13,452690,1878825,0.24094314265564915
Brute Bonnet,14,374798,1878825,0.19948531662076033
Talonflame,15,476666,1878825,0.25370430987452264
Armarouge,16,524411,1878825,0.27911646906976434
Indeedee-F,17,532736,1878825,0.283547429909651
Torkoal,18,407644,1878825,0.21696751959336288
Tyranitar,19,314751,1878825,0.16752544808590475
Palafin,20,416057,1878825,0.22144531821750296
Annihilape,21,514816,1878825,0.2740095538434926
Iron Moth,22,283950,1878825,0.1511316913496467
Sylveon,23,271465,1878825,0.1444865807086876
Garganacl,24,399054,1878825,0.21239551315316754
Murkrow,25,288287,1878825,0.15344004896677443
Volcarona,26,252924,1878825,0.13461817891501338
Gothitelle,27,239576,1878825,0.1275137386398414
Mimikyu,28,162555,1878825,0.08651950021955211
Baxcalibur,29,253415,1878825,0.13487951246124572
Glimmora,30,145760,1878825,0.07758040264527032
Hatterene,31,114335,1878825,0.06085452343885141
Pelipper,32,229853,1878825,0.1223386957273828
Grimmsnarl,33,348837,1878825,0.18566763801844238
Garchomp,34,255337,1878825,0.13590249224914508
Ceruledge,35,144232,1878825,0.07676712839141485
Scream Tail,36,188580,1878825,0.10037124266496347
Meowscarada,37,310194,1878825,0.16509999600814337
Gastrodon,38,304659,1878825,0.16215400582811065
Sandy Shocks,39,205073,1878825,0.10914960147964818
Oranguru,40,72688,1878825,0.03868800979335489
Farigiraf,41,183101,1878825,0.09745505834763749
Rotom-Wash,42,118888,1878825,0.06327784652641943
Hariyama,43,46014,1878825,0.024490838689074288
Iron Jugulis,44,97797,1878825,0.052052213484491634
Corviknight,45,129797,1878825,0.06908413503120302
Lycanroc,46,52024,1878825,0.02768964645456602
Abomasnow,47,119123,1878825,0.0634029247002781
Pawmot,48,71367,1878825,0.03798491078200471
