Rank,Count,n,Percent
1,670038,807139,0.8301395422597595
2,477869,807139,0.5920529177750053
3,358174,807139,0.4437575188412405
4,260431,807139,0.32265941801845777
5,355436,807139,0.44036529024121
6,422997,807139,0.5240695840493397
7,236855,807139,0.2934500748941632
8,423127,807139,0.5242306467659226
9,298255,807139,0.36952123488023747
10,237508,807139,0.29425910530899885
11,134552,807139,0.16670238955124211
12,132814,807139,0.1645491049249262
13,248468,807139,0.30783793126091047
14,213712,807139,0.26477719451048704
15,220259,807139,0.2728885607063963
16,232883,807139,0.288528989430569
17,88981,807139,0.11024247372509567
18,123365,807139,0.15284232331729727
19,226915,807139,0.28113497179544045
20,227936,807139,0.282399933592603
21,138990,807139,0.17220082290658734
22,160792,807139,0.1992122794215123
23,218800,807139,0.2710809414487467
24,122556,807139,0.1518400176425622
25,99049,807139,0.12271616165245391
26,117243,807139,0.1452575083102167
27,68792,807139,0.08522943383977233
28,129564,807139,0.16052253701035385
29,60547,807139,0.07501434077649574
30,78880,807139,0.09772790064660486
31,63219,807139,0.07832479907426106
32,89036,807139,0.11031061564364998
33,103963,807139,0.1288043323392873
34,127556,807139,0.158034737511135
35,47934,807139,0.05938754043603394
36,77133,807139,0.09556346552452552
37,113691,807139,0.14085677931558258
38,57189,807139,0.07085396691276223
39,48020,807139,0.059494089617773395
40,86315,807139,0.10693944909117264
41,23384,807139,0.02897146588134138
42,108061,807139,0.13388152474356957
43,68325,807139,0.08465084700404762
44,46139,807139,0.0571636360032163
45,31464,807139,0.03898213318895506
46,58187,807139,0.07209043299852938
47,77722,807139,0.09629320352504339
48,19823,807139,0.024559586390943817
49,29565,807139,0.0366293785828711
50,51116,807139,0.06332986016039369
51,28018,807139,0.03471273225553467
52,54734,807139,0.06781235945729298
53,59767,807139,0.07404796447699838
54,21426,807139,0.026545613580808262
55,49247,807139,0.061014273873521166
56,33140,807139,0.04105860328890067
57,25313,807139,0.031361388806636775
58,24766,807139,0.03068368645301491
59,20268,807139,0.025110916459246797
60,15637,807139,0.01937336691697465
61,18082,807139,0.02240258493270676
62,10464,807139,0.012964309740949205
63,20967,807139,0.025976938296873277
64,31080,807139,0.03850637870304867
65,7217,807139,0.008941458658298013
66,43877,807139,0.054361144734673954
67,24919,807139,0.030873244880993238
68,21584,807139,0.026741366728655163
69,10595,807139,0.013126611401505813
70,32820,807139,0.040662141217312014
71,26493,807139,0.03282334269561996
72,30034,807139,0.03721044330654324
73,37850,807139,0.04689402940509627
74,17945,807139,0.02223284960830786
75,17516,807139,0.021701342643584313
76,14355,807139,0.017785040742672575
77,19453,807139,0.024101177120669427
78,30482,807139,0.03776549020676736
79,9840,807139,0.012191208701351316
80,15773,807139,0.019541863297399827
81,12149,807139,0.015051930336658246
82,5765,807139,0.007142512008464465
83,7647,807139,0.009474204566995275
84,11501,807139,0.014249094641691207
85,11822,807139,0.014646795657253584
86,11105,807139,0.01375847282810024
87,18967,807139,0.023499050349444148
88,7377,807139,0.009139689694092344
89,7949,807139,0.009848365647057074
90,23275,807139,0.028836420988206494
91,10218,807139,0.012659529523415421
92,13879,807139,0.017195303411184443
93,10853,807139,0.01344625894672417
94,17898,807139,0.022174619241543278
95,9782,807139,0.01211934995087587
96,16882,807139,0.02091585216424928
97,6002,807139,0.007436141730234817
98,17417,807139,0.021578687190186574
99,5392,807139,0.006680385906268933
100,10119,807139,0.012536874070017679
101,4201,807139,0.005204803633574886
102,7819,807139,0.00968730293047418
103,5576,807139,0.006908351597432413
104,4175,807139,0.005172591090258308
105,4918,807139,0.006093126462728229
106,2885,807139,0.003574353364166519
107,10975,807139,0.013597410111517346
108,2614,807139,0.003238599547289872
109,18020,807139,0.022325770406336456
110,9419,807139,0.011669613288417485
111,9623,807139,0.011922357859055255
112,6091,807139,0.007546407743895413
113,13129,807139,0.01626609543089852
114,6598,807139,0.008174552338568697
115,8817,807139,0.010923769016241317
116,15768,807139,0.019535668577531255
