 Total battles: 1878825
 Avg. weight/team: 0.001
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 58.53144% | 1454951 | 38.720% | 729736 | 42.412% | 
 | 2    | Iron Bundle        | 39.49990% | 1165153 | 31.007% | 561782 | 32.651% | 
 | 3    | Iron Hands         | 34.22431% | 1145260 | 30.478% | 617069 | 35.864% | 
 | 4    | Great Tusk         | 27.69705% | 673071 | 17.912% | 364773 | 21.201% | 
 | 5    | Gholdengo          | 27.17787% | 663711 | 17.663% | 299077 | 17.382% | 
 | 6    | Amoonguss          | 25.90797% | 983437 | 26.172% | 371485 | 21.591% | 
 | 7    | Arcanine           | 23.16070% | 930540 | 24.764% | 433178 | 25.176% | 
 | 8    | Dondozo            | 21.30859% | 315148 |  8.387% | 166119 |  9.655% | 
 | 9    | Tatsugiri          | 20.81914% | 313274 |  8.337% | 176483 | 10.257% | 
 | 10   | Dragonite          | 20.78822% | 396729 | 10.558% | 160427 |  9.324% | 
 | 11   | Roaring Moon       | 18.72893% | 642275 | 17.092% | 268052 | 15.579% | 
 | 12   | Kingambit          | 17.12339% | 556369 | 14.806% | 238494 | 13.861% | 
 | 13   | Maushold           | 16.64509% | 452690 | 12.047% | 186586 | 10.844% | 
 | 14   | Brute Bonnet       | 15.66521% | 374798 |  9.974% | 156833 |  9.115% | 
 | 15   | Talonflame         | 14.89583% | 476666 | 12.685% | 138081 |  8.025% | 
 | 16   | Armarouge          | 14.44547% | 524411 | 13.956% | 262358 | 15.248% | 
 | 17   | Indeedee-F         | 13.86296% | 532736 | 14.177% | 235561 | 13.691% | 
 | 18   | Torkoal            | 13.21091% | 407644 | 10.848% | 214786 | 12.483% | 
 | 19   | Tyranitar          | 12.32732% | 314751 |  8.376% | 149872 |  8.711% | 
 | 20   | Palafin            | 12.29901% | 416057 | 11.072% | 235410 | 13.682% | 
 | 21   | Annihilape         | 11.68085% | 514816 | 13.700% | 252072 | 14.650% | 
 | 22   | Iron Moth          |  8.88528% | 283950 |  7.557% | 131091 |  7.619% | 
 | 23   | Sylveon            |  8.55873% | 271465 |  7.224% | 132527 |  7.702% | 
 | 24   | Garganacl          |  7.65377% | 399054 | 10.620% | 187090 | 10.874% | 
 | 25   | Murkrow            |  6.95480% | 288287 |  7.672% | 88010  |  5.115% | 
 | 26   | Volcarona          |  6.71197% | 252924 |  6.731% | 109744 |  6.378% | 
 | 27   | Gothitelle         |  6.67173% | 239576 |  6.376% | 104956 |  6.100% | 
 | 28   | Mimikyu            |  4.97020% | 162555 |  4.326% | 68528  |  3.983% | 
 | 29   | Baxcalibur         |  4.82510% | 253415 |  6.744% | 113735 |  6.610% | 
 | 30   | Glimmora           |  4.72660% | 145760 |  3.879% | 66483  |  3.864% | 
 | 31   | Hatterene          |  4.72108% | 114335 |  3.043% | 49069  |  2.852% | 
 | 32   | Pelipper           |  4.14896% | 229853 |  6.117% | 106853 |  6.210% | 
 | 33   | Grimmsnarl         |  4.01094% | 348837 |  9.283% | 132519 |  7.702% | 
 | 34   | Garchomp           |  3.91171% | 255337 |  6.795% | 129202 |  7.509% | 
 | 35   | Ceruledge          |  3.32611% | 144232 |  3.838% | 72016  |  4.186% | 
 | 36   | Scream Tail        |  3.25024% | 188580 |  5.019% | 83162  |  4.833% | 
 | 37   | Meowscarada        |  3.07711% | 310194 |  8.255% | 139180 |  8.089% | 
 | 38   | Gastrodon          |  3.05165% | 304659 |  8.108% | 146777 |  8.531% | 
 | 39   | Sandy Shocks       |  2.76952% | 205073 |  5.457% | 107978 |  6.276% | 
 | 40   | Oranguru           |  2.57079% | 72688  |  1.934% | 31356  |  1.822% | 
 | 41   | Farigiraf          |  2.48033% | 183101 |  4.873% | 60543  |  3.519% | 
 | 42   | Rotom-Wash         |  2.17182% | 118888 |  3.164% | 57301  |  3.330% | 
 | 43   | Hariyama           |  1.92293% | 46014  |  1.225% | 21185  |  1.231% | 
 | 44   | Iron Jugulis       |  1.79374% | 97797  |  2.603% | 39103  |  2.273% | 
 | 45   | Corviknight        |  1.59427% | 129797 |  3.454% | 51544  |  2.996% | 
 | 46   | Lycanroc           |  1.52756% | 52024  |  1.384% | 22868  |  1.329% | 
 | 47   | Abomasnow          |  1.51237% | 119123 |  3.170% | 54690  |  3.179% | 
 | 48   | Pawmot             |  1.38661% | 71367  |  1.899% | 32758  |  1.904% | 
 | 49   | Salamence          |  1.34278% | 56430  |  1.502% | 24942  |  1.450% | 
 | 50   | Scizor             |  1.30225% | 174242 |  4.637% | 76749  |  4.461% | 
 | 51   | Sableye            |  1.28180% | 88178  |  2.347% | 34542  |  2.008% | 
 | 52   | Espathra           |  1.26663% | 89109  |  2.371% | 42589  |  2.475% | 
 | 53   | Hydreigon          |  1.24586% | 194930 |  5.188% | 83692  |  4.864% | 
 | 54   | Gyarados           |  1.15591% | 74183  |  1.974% | 35171  |  2.044% | 
 | 55   | Tauros-Paldea-Aqua |  1.07062% | 75834  |  2.018% | 36219  |  2.105% | 
 | 56   | Lilligant          |  0.98342% | 44915  |  1.195% | 15931  |  0.926% | 
