 Total battles: 1384164
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Gholdengo          | 31.08104% | 860425 | 31.081% | 406335 | 32.242% | 
 | 2    | Meowscarada        | 30.86444% | 854429 | 30.864% | 403855 | 32.046% | 
 | 3    | Amoonguss          | 22.41674% | 620569 | 22.417% | 241308 | 19.148% | 
 | 4    | Murkrow            | 22.21370% | 614948 | 22.214% | 192158 | 15.248% | 
 | 5    | Annihilape         | 22.06657% | 610875 | 22.067% | 309310 | 24.544% | 
 | 6    | Hydreigon          | 21.65708% | 599539 | 21.657% | 285153 | 22.627% | 
 | 7    | Garchomp           | 19.46323% | 538806 | 19.463% | 270803 | 21.488% | 
 | 8    | Maushold           | 19.12895% | 529552 | 19.129% | 214176 | 16.995% | 
 | 9    | Armarouge          | 17.68750% | 489648 | 17.687% | 232141 | 18.420% | 
 | 10   | Kingambit          | 16.66219% | 461264 | 16.662% | 216060 | 17.144% | 
 | 11   | Sylveon            | 15.32181% | 424158 | 15.322% | 206736 | 16.404% | 
 | 12   | Indeedee-F         | 14.90730% | 412683 | 14.907% | 168759 | 13.391% | 
 | 13   | Grimmsnarl         | 11.53057% | 319204 | 11.531% | 122632 |  9.731% | 
 | 14   | Dondozo            | 11.42939% | 316403 | 11.429% | 167650 | 13.303% | 
 | 15   | Tatsugiri          | 11.13347% | 308211 | 11.133% | 166409 | 13.204% | 
 | 16   | Volcarona          | 11.09843% | 307241 | 11.098% | 133929 | 10.627% | 
 | 17   | Dragonite          | 10.77271% | 298224 | 10.773% | 134373 | 10.662% | 
 | 18   | Baxcalibur         | 10.76386% | 297979 | 10.764% | 144977 | 11.504% | 
 | 19   | Pelipper           | 10.49236% | 290463 | 10.492% | 140402 | 11.141% | 
